pc_brand,condition,discription,price
Hp,New,"[<p>💻  HP OMEN GAMING</p>, <p>➡️7TH GENERATION</p>, <p>💫 GTX 1050Ti 4GB GRAPHICS<br/>
GAMING LAPTOP</p>, <p>✅Intel core  i7 7th gen with Turbo Speed 4.50GHz<br/>
   <br/>
✍8GB RAM<br/>
✍ 1000gb HDD + 256GB SSD<br/>
    ✍4GB  NVIDIA GTX 1050ti  Graphics<br/>
✍15.6 inch FHD Gaming Laptop<br/>
✍with excellent battery Duration</p>, <p>  🩸price.....64500</p>]","Br 64,500"
Hp,New,"[<p>❇️Hp envy gaming laptop<br/>
❇️Nividea geforce gtx 950<br/>
❇️4gb graphics card<br/>
❇️1tb hard drive &amp; 128gb<br/>
❇️8gb Memory<br/>
❇️15.6 inch screen size<br/>
❇️6th generation<br/>
❇️Price....435000 birr<br/>
Address Bole medahnalm</p>]","Br 43,500"
Other,New,"[<p>NEW GAMING  LAPTOP</p>, <p>MSI GF65 Thin 10UE</p>, <p>Core i7-10th Generation</p>, <p>16 GB Ram</p>, <p>512 GB SSD Storage</p>, <p>RTX 3060 6 GB Dedicated Graphics</p>, <p>15.6"" Screen Size</p>, <p>ě Price:- 100,000 Birr</p>, <p>ℹ️ For more info</p>]","Br 100,000"
Other,New,"[<p>❇️ALIENWARE ❇️<br/>
🔱GAMING LAPTOP<br/>
⚜️Intel core i9-10980HK<br/>
🔰Total Cores 8; Total Threads 16<br/>
❇️Base speed @3.10Ghz<br/>
❇️Up to 5.30Ghz processor speed<br/>
💠1TB ssd storage<br/>
💠32GB RAM 2933MHz speed<br/>
💻15.6"" inch screen<br/>
🖥️FullHD 300.185Hz Refresh rate<br/>
🔆RGB keyboard Backlight<br/>
🔋BEST BATTERY LIFE🔋</p>, <p>✴️Nividia Geforce RTX 3080 8 GB GPU  GRAPHICS ✴️</p>, <p>#PRICE 225,000 Birr</p>]","Br 225,000"
Other,New,"[<p>NEW GAMING  LAPTOP</p>, <p>MSI GF65 Thin 10UE</p>, <p>Core i7-10th Generation</p>, <p>16 GB Ram</p>, <p>512 GB SSD Storage</p>, <p>RTX 3060 6 GB Dedicated Graphics</p>, <p>15.6"" Screen Size</p>, <p>ě Price:- 100,000 Birr</p>, <p>ℹ️ For more info</p>, <p>Call me 09 00839218</p>]","Br 100,000"
Other,New,"[<p>New arrival omen 17 high end gaming laptop<br/>
🎲 RTX 3070Ti(compared to 3080) 8 gb nvidia graphics card<br/>
🎲 core i7-12th genaration<br/>
🎲 16 cores 24 logical processors<br/>
🎲 1tb ssd storage<br/>
🎲 16gb ddr5(4800hrz)ram<br/>
🎲 17""  size<br/>
🎲 2k resolitions<br/>
🎲 165hrz refresh rate<br/>
🎲 long last battery life<br/>
price 175,000 bir</p>]","Br 175,000"
Acer,New,"[<p>Acer predator Gaming Laptop<br/>
🍈Intel Core i7-8300H<br/>
✅8th generation</p>, <p>🍊NVIDIA GeForce GTX 1060<br/>
✅6gb dedicated graphics<br/>
🥭Laptop GPU | 15.6"" FHD 144Hz IPS Display<br/>
🍋8GB DDR4 Ram |<br/>
1500 GB Hdd plus 256gb SSD storage<br/>
🍏Intel Wi-Fi 6<br/>
Backlit Keyboard<br/>
Price…. 64,500 Birr </p>, <p>📞 Call</p>]","Br 64,500"
Other,New,"[<p>high end gaming for arc students ever</p>, <p>has has cooler boost 5 fan system</p>, <p>BRAND NEW MSI GP76 Leopard 11UG-023FR</p>, <p>Core i7</p>, <p>   11th Generation</p>, <p>MSI GP76 Leopard<br/>
17.3"" FHD  IPS-Level</p>, <p>240Hz Refresh Rate</p>, <p>Intel Core i7-11800H</p>, <p>16 GB DDR4 RAM</p>, <p>1TB  NVMe SSD  Storage </p>, <p>𝗽𝗲𝗿-𝗞𝗲𝘆 𝗥𝗚𝗕 𝘄𝗶𝘁𝗵 𝗔𝗻𝘁𝗶-𝗚𝗵𝗼𝘀𝘁 𝗸𝗲𝘆<br/>
𝘀𝗶𝗹𝘃𝗲𝗿 𝗹𝗶𝗻𝗶𝗻𝗴</p>, <p>  17 "" inch screen with FHD resolution</p>, <p>  8GB 𝐍𝐕𝐈𝐃𝐈𝐀 𝐆𝐞𝐅𝐨𝐫𝐜𝐞 𝐑𝐓𝐗 3𝟎𝟕𝟎</p>, <p>Price 145000 Birr(slight negotiable)</p>, <p>     Call</p>]","Br 145,000"
Acer,New,"[<p>Acer predator Gaming Laptop<br/>
🍈Intel Core i7-8300H<br/>
✅8th generation</p>, <p>🍊NVIDIA GeForce GTX 1060<br/>
✅6gb dedicated graphics<br/>
🥭Laptop GPU | 15.6"" FHD 144Hz IPS Display<br/>
🍋8GB DDR4 Ram |<br/>
1500 GB Hdd plus 256gb SSD storage<br/>
🍏Intel Wi-Fi 6<br/>
Backlit Keyboard</p>]","Br 65,000"
Other,New,"[<p>❇️ALIENWARE ❇️<br/>
🔱GAMING LAPTOP<br/>
⚜️Intel core i9-10980HK<br/>
🔰Total Cores 8; Total Threads 16<br/>
❇️Base speed @3.10Ghz<br/>
❇️Up to 5.30Ghz processor speed<br/>
💠1.5TB ssd storage<br/>
💠32GB RAM 2933MHz speed<br/>
💻15"" inch screen<br/>
🖥️FullHD 300.185Hz Refresh rate<br/>
🔆RGB keyboard Backlight<br/>
🔋BEST BATTERY LIFE🔋</p>, <p>✴️Nividia Geforce RTX 3080 8 GB GPU GRAPHICS ✴️</p>, <p>#PRICE 270.000 Birr</p>, <p>📞<br/>
📞</p>]","Br 270,000"
Hp,New,"[<p>Brand New<br/>
Hp power pavilion  gaming laptop</p>, <p>        15.6 INCH screen size</p>, <p>i5 11th  GENERATION</p>, <p>512 GB SSD storage</p>, <p>8GB DDR4 RAM</p>, <p>KEYBOARD BACKLIT</p>, <p>FULL HD DISPLAY</p>, <p>Nvidia Geforce GTX 1650 4gb dedicated graphics(VRam)</p>, <p>#PRICE  ....78000 birr</p>]","Br 78,000"
Other,New,"[<p>❇️ALIENWARE ❇️<br/>
🔱GAMING LAPTOP<br/>
⚜️Intel core i9-10980HK<br/>
🔰Total Cores 8; Total Threads 16<br/>
❇️Base speed @3.10Ghz<br/>
❇️Up to 5.30Ghz processor speed<br/>
💠1.5TB ssd storage<br/>
💠32GB RAM 2933MHz speed<br/>
💻15"" inch screen<br/>
🖥️FullHD 300.185Hz Refresh rate<br/>
🔆RGB keyboard Backlight<br/>
🔋BEST BATTERY LIFE🔋</p>, <p>✴️Nividia Geforce RTX 3080 8 GB GPU  GRAPHICS ✴️</p>, <p>#PRICE 280,000 Bir</p>]","Br 280,000"
Acer,New,"[<p>Acer predator Gaming Laptop<br/>
🍈Intel Core i7-8300H<br/>
✅8th generation</p>, <p>🍊NVIDIA GeForce GTX 1060<br/>
✅6gb dedicated graphics<br/>
🥭Laptop GPU | 15.6"" FHD 144Hz IPS Display<br/>
🍋8GB DDR4 Ram |<br/>
1500 GB Hdd plus 256gb SSD storage<br/>
🍏Intel Wi-Fi 6<br/>
Backlit Keyboard<br/>
Price…. 65,500 Birr</p>]","Br 65,500"
Dell,New,"[<p>🖍9th Generation Power Gaming Ultra-slim Dell XPS  precision Laptop with black edition</p>, <p>🖍Touch screen with 4K screen resolution</p>, <p>🖍Dell  Powerful Gaming   Model with  latest Processor </p>, <p>❇️Octa-Core processor(12 processor)</p>, <p>❇️ High Quality processor  Intel Core i7   9th generate<br/>
                 <br/>
❇️4K IPS micro-edge  Corning<br/>
Gorilla, with Eyes detect </p>, <p>❇️16GB DDR4 RAM</p>, <p>❇️512GB PCIe NVMe SSD(faster than Hard disk)</p>, <p>❇️ Edge to Edge</p>, <p>❇️4GB Nvidia Quadro P1000M graphics card (same as GTX 1650M)</p>, <p>❇️Harmen karden  speakers</p>, <p>❇️15.6 "" inch screen with 4k resolution</p>, <p>🩸Price..........87500 Birr</p>, <p>Call @</p>]","Br 87,500"
Other,New,"[<p>❇️Alein ware m17 R4 ❇️<br/>
🔱GAMING LAPTOP<br/>
⚜️Intel core i7 10850<br/>
🔰Total Cores 8; Total Threads 16<br/>
❇️Base speed @2.90Ghz<br/>
❇️Up to4.2Ghz processor speed<br/>
💠1tb ssd storage<br/>
💠32GB RAM 3200MHz speed<br/>
💻17"" inch screen<br/>
🖥️FullHD 144Hz Refresh rate<br/>
🔆RGB keyboard Backlight<br/>
🔋BEST BATTERY LIFE🔋</p>, <p>✴️Nividia Geforce RTX 3080 16gb GPU  GRAPHICS ✴️</p>]","Br 299,999"
Hp,New,"[<p>✔️ Hp pavilion gaming laptop</p>, <p>✍ 11th generation</p>, <p>✍ intel(R) core(TM)i5</p>, <p>✔️ Installed RAM 8GB</p>, <p>✔️ Storage Capacity 521GB SSD</p>, <p>✔️ Dedicating GPU 4gb</p>, <p>✔️ Nvidia getforce RTX 3050 GPU</p>, <p>💻 Screen Size 15.6 inch</p>, <p>💻 144Hz Refresh Rate</p>, <p>Price ..........89500</p>, <p>Call 09 00839218</p>]","Br 89,500"
Acer,New,"[<p>Acer Nitro 5 Gaming Laptop<br/>
🍈Intel Core i5-9300H<br/>
✅9th generation</p>, <p>🍊NVIDIA GeForce GTX 1650<br/>
✅4gb dedicated graphics<br/>
🥭Laptop GPU | 15.6"" FHD 144Hz IPS Display<br/>
🍋16GB DDR4 Ram |<br/>
512 GB NVMe SSD storage<br/>
🍏Intel Wi-Fi 6<br/>
Backlit Keyboard<br/>
Price…. 74,500 Birr</p>]","Br 74,500"
Other,New,"[<p>GAMING LAPTOP<br/>
✅HP OMEN-X <br/>
🧇144Hrz refrashing rate<br/>
Intel™ Core i7<br/>
🔅Storage : 1tb ssd<br/>
🔅Ram : 16GB  DDR4<br/>
🔅Graphics: GTX 1060 6gb nividia GRAPHICS<br/>
🔅Battery: 4HR plus<br/>
🔅 Inch : 15.6 Full HD<br/>
Price...88,000etb</p>]","Br 88,000"
Other,New,"[<p>MSI GF63 Gaming<br/>
                     (15.6 inch )<br/>
✅  ntel Core i5- 10th Generation</p>, <p>✅  Storage 512gb SSD</p>, <p>✅   16GB RAM</p>, <p>✅  Full HD 1080</p>, <p>✅  Keyboard backlit</p>, <p>🎆Nvidia RTX 3050 4gb  GDDR6 dedicated graphics(VRam)</p>]","Br 85,500"
Hp,New,"[<p>🔵💻Hp ENVY Gaming Laptop<br/>
❤️ New Coming 3pic Avaliable</p>, <p>✅PROCESSOR Core i5(6th gen)</p>, <p>Model : Hp envy</p>, <p>Condition: Brand New!</p>, <p>🖥 Screen :15.6 inch</p>, <p>📼 Storage : 256gb SSD+1TB HDD</p>, <p>⏳Ram : 8gb ram</p>, <p>💎 GRAPHICS:4gb NIVIDA GTX 950<br/>
✅4GB Dedicated Graphics</p>, <p>🔋: above 4hr.+ hours battery life</p>, <p>👉white  keyboard light</p>, <p>👉B&amp;O HD</p>]","Br 55,500"
Hp,New,"[<p>New Arrival 😎 GAMING LAPTOP<br/>
✅Geforce GTX 6 gb nvidia graphics card<br/>
✅HP OMEN-X  120HZ<br/>
✅Intel™ Core i7 7TH GEN!!<br/>
✅2.8 ghrz processor speed,plus has turbo boost<br/>
🔅Storage : 128GB SSD + 1TB HDD<br/>
🔅Ram : 8GB  DDR4<br/>
🔅Graphics: GTX 1060 6gb nividia GRAPHICS<br/>
🔅Battery: 4HR plus<br/>
🔅 Inch : 15.6 Full HD<br/>
Price...76,000etb</p>]","Br 76,000"
Hp,New,"[<p>✅ HP Pavilion Gaming Laptop</p>, <p>✍ core i5-11th generation</p>, <p>🔺8 gb  RAM (upgradable)</p>, <p>🔺Storage 256GB + 1TBGB HDD</p>, <p>🔺15.6 full HD 1920x1080 display</p>, <p>🔺RGB Keyboard light</p>, <p>🔺✅4 gb Nvidia GeForce GTX 1650 graphics card</p>, <p>Price: .....................79900 birr</p>]","Br 799,000"
Other,New,"[<p>MSI Gaming laptop<br/>
GTX 1070 8gb dedicated graphics card</p>, <p>Intel(R) Core(TM) i7-8300H 8th</p>, <p>512 GB SSD storage</p>, <p>16GB RAM DDR4 Memory</p>, <p>15.6 inch screen size</p>, <p>Nvidia Geforce GTX 1070 8GB dedicated graphics</p>, <p>Price. 84<br/>
,000 birr</p>]","Br 85,000"
